UNIXTime,Data,Time,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet
8,9/1/2016 12:00:00 AM,00:00:08,2.58,51,30.43,103,77.27,11.25,22020,67080
310,9/1/2016 12:00:00 AM,00:05:10,2.83,51,30.43,103,153.44,9.0,22020,67080
1206,9/1/2016 12:00:00 AM,00:20:06,2.16,51,30.43,103,142.04,7.87,22020,67080
1505,9/1/2016 12:00:00 AM,00:25:05,2.21,51,30.43,103,144.12,18.0,22020,67080
1809,9/1/2016 12:00:00 AM,00:30:09,2.25,51,30.43,103,67.42,11.25,22020,67080
2704,9/1/2016 12:00:00 AM,00:45:04,2.15,51,30.43,103,67.85,4.5,22020,67080
3006,9/1/2016 12:00:00 AM,00:50:06,2.07,51,30.43,103,156.58,1.12,22020,67080
3304,9/1/2016 12:00:00 AM,00:55:04,2.06,52,30.43,103,69.98,7.87,22020,67080
3607,9/1/2016 12:00:00 AM,01:00:07,2.1,52,30.43,103,92.15,4.5,22020,67080
3905,9/1/2016 12:00:00 AM,01:05:05,2.07,52,30.42,103,68.17,4.5,22020,67080
4206,9/1/2016 12:00:00 AM,01:10:06,2.1,51,30.42,103,158.06,4.5,22020,67080
4514,9/1/2016 12:00:00 AM,01:15:14,2.4,51,30.42,103,39.69,3.37,22020,67080
4803,9/1/2016 12:00:00 AM,01:20:03,2.06,51,30.42,103,183.01,7.87,22020,67080
5106,9/1/2016 12:00:00 AM,01:25:06,3.55,51,30.42,103,112.42,4.5,22020,67080
5408,9/1/2016 12:00:00 AM,01:30:08,3.63,52,30.41,103,79.47,3.37,22020,67080
5704,9/1/2016 12:00:00 AM,01:35:04,3.76,52,30.41,103,134.44,10.12,22020,67080
6007,9/1/2016 12:00:00 AM,01:40:07,3.25,52,30.42,103,81.23,3.37,22020,67080
6308,9/1/2016 12:00:00 AM,01:45:08,3.9,52,30.41,103,270.48,5.62,22020,67080
6643,9/1/2016 12:00:00 AM,01:50:43,3.13,51,30.41,103,170.97,5.62,22020,67080
